Position;Average_X-Arm_(m);Average_Y-Arm_(m);Symmetric_Max_Weight_(kg)_5%;Symmetric_Max_Weight_(kg)_10%;Asymmetric_Max_Weight_(kg)_5%;Asymmetric_Max_Weight_(kg)_10%;Allowerd_Size_Pallet;Pallet_Base_size_Allowed;Bodega;Temp_Restriction_Symmetric;Temp_Restriction_Asymmetric
HJL;32,237;-1,232;4320,917392;4320,917392;3456,82;3456,82;96x125 (SBS);M;MD;0,0;0,0
JKR;35,438;1,232;4320,917392;4320,917392;3456,82;3456,82;88x125;A;MD;0,0;0,0
JKR;35,438;1,232;4320,917392;4320,917392;3456,82;3456,82;96x125 (SBS);M;MD;0,0;0,0
JKL;35,438;-1,232;4320,917392;4320,917392;5185,01;5185,01;88x125;A;MD;0,0;0,0
JKL;35,438;-1,232;4320,917392;4320,917392;5185,01;5185,01;96x125 (SBS);M;MD;0,0;0,0
KMR;38,638;1,232;3229,121448;2963,770128;3875,04;3557,07;88x125;A;MD;0,0;0,0
KMR;38,638;1,232;3229,121448;2963,770128;3875,04;3557,07;96x125 (SBS);M;MD;0,0;0,0
KML;38,638;-1,232;3229,121448;2963,770128;2582,75;2370,93;88x125;A;MD;0,0;0,0
KML;38,638;-1,232;3229,121448;2963,770128;2582,75;2370,93;96x125 (SBS);M;MD;0,0;0,0
MPR;41,864;1,232;3041,787952;2756,024992;2433,07;2204,91;88x125;A;MD;0,0;0,0
MPR;41,864;1,232;3041,787952;2756,024992;2433,07;2204,91;96x125 (SBS);M;MD;0,0;0,0
MPL;41,864;-1,232;3041,787952;2756,024992;3650,05;3307,14;88x125;A;MD;0,0;0,0
MPL;41,864;-1,232;3041,787952;2756,024992;3650,05;3307,14;96x125 (SBS);M;MD;0,0;0,0
AB;16,235;0,0;3428,7;3428,7;3428,7;3428,7;96x125;M;MD;0,0;0,0
BC;19,436;0,0;3940,81;3940,81;3940,81;3940,81;96x125;M;MD;0,0;0,0
11;15,433;0,0;1687,0;1687,0;1687,0;1687,0;60.4x61.5;K;LDF;0,0;0,0
12;17,195;0,0;1687,0;1687,0;1687,0;1687,0;60.4x61.5;K;LDF;0,0;0,0
13;18,778;0,0;1687,0;1687,0;1687,0;1687,0;60.4x61.5;K;LDF;0,0;0,0
14;20,36;0,0;1687,0;1687,0;1687,0;1687,0;60.4x61.5;K;LDF;0,0;0,0
21;22,123;0,0;1687,0;1687,0;1687,0;1687,0;60.4x61.5;K;LDF;0,0;0,0
22;23,705;0,0;1687,0;1687,0;1687,0;1687,0;60.4x61.5;K;LDF;0,0;0,0
23;25,288;0,0;1687,0;1687,0;1687,0;1687,0;60.4x61.5;K;LDF;0,0;0,0
11;15,433;0,0;3174,0;3174,0;3174,0;3174,0;60.4x125;L;LDF;0,0;0,0
12;17,195;0,0;3174,0;3174,0;3174,0;3174,0;60.4x125;L;LDF;0,0;0,0
13;18,778;0,0;3174,0;3174,0;3174,0;3174,0;60.4x125;L;LDF;0,0;0,0
14;20,36;0,0;3174,0;3174,0;3174,0;3174,0;60.4x125;L;LDF;0,0;0,0
21;22,123;0,0;3174,0;3174,0;3174,0;3174,0;60.4x125;L;LDF;0,0;0,0
22;23,705;0,0;3174,0;3174,0;3174,0;3174,0;60.4x125;L;LDF;0,0;0,0
23;25,288;0,0;3174,0;3174,0;3174,0;3174,0;60.4x125;L;LDF;0,0;0,0
12P;17,546;0,0;4626,0;4626,0;4626,0;4626,0;88x125;A;LDF;0,0;0,0
13P;20,01;0,0;4626,0;4626,0;4626,0;4626,0;88x125;A;LDF;0,0;0,0
21P;22,473;0,0;4626,0;4626,0;4626,0;4626,0;88x125;A;LDF;0,0;0,0
22P;24,937;0,0;4626,0;4626,0;4626,0;4626,0;88x125;A;LDF;0,0;0,0
12P;17,546;0,0;5103,0;5103,0;5103,0;5103,0;96x125;M;LDF;0,0;0,0
13P;20,01;0,0;5103,0;5103,0;5103,0;5103,0;96x125;M;LDF;0,0;0,0
21P;22,473;0,0;5103,0;5103,0;5103,0;5103,0;96x125;M;LDF;0,0;0,0
22P;24,937;0,0;5103,0;5103,0;5103,0;5103,0;96x125;M;LDF;0,0;0,0
31;37,607;0,0;3174,0;3174,0;3174,0;3174,0;60.4x61.5;K;LDA;0,0;0,0
32;39,19;0,0;3174,0;3174,0;3174,0;3174,0;60.4x61.5;K;LDA;0,0;0,0
33;40,772;0,0;3174,0;3174,0;3174,0;3174,0;60.4x61.5;K;LDA;0,0;0,0
41;42,749;0,0;3174,0;3174,0;3174,0;3174,0;60.4x61.5;K;LDA;0,0;0,0
42;44,332;0,0;3174,0;3174,0;3174,0;3174,0;60.4x61.5;K;LDA;0,0;0,0
43;45,914;0,0;3174,0;3174,0;3174,0;3174,0;60.4x61.5;K;LDA;0,0;0,0
31;37,607;0,0;3174,0;3174,0;3174,0;3174,0;60.4x125;L;LDA;0,0;0,0
32;39,19;0,0;3174,0;3174,0;3174,0;3174,0;60.4x125;L;LDA;0,0;0,0
33;40,772;0,0;3174,0;3174,0;3174,0;3174,0;60.4x125;L;LDA;0,0;0,0
41;42,749;0,0;3174,0;3174,0;3174,0;3174,0;60.4x125;L;LDA;0,0;0,0
42;44,332;0,0;3174,0;3174,0;3174,0;3174,0;60.4x125;L;LDA;0,0;0,0
43;45,914;0,0;3174,0;3174,0;3174,0;3174,0;60.4x125;L;LDA;0,0;0,0
31P;37,958;0,0;4626,0;4626,0;4626,0;4626,0;88x125;A;LDA;0,0;0,0
32P;40,421;0,0;4626,0;4626,0;4626,0;4626,0;88x125;A;LDA;0,0;0,0
41P;43,1;0,0;4626,0;4626,0;4626,0;4626,0;88x125;A;LDA;0,0;0,0
42P;45,36;0,0;4626,0;4626,0;4626,0;4626,0;88x125;A;LDA;0,0;0,0
31P;37,958;0,0;4626,0;4626,0;4626,0;4626,0;96x125;M;LDA;0,0;0,0
32P;40,421;0,0;4626,0;4626,0;4626,0;4626,0;96x125;M;LDA;0,0;0,0
41P;43,1;0,0;4626,0;4626,0;4626,0;4626,0;96x125;M;LDA;0,0;0,0
42P;45,36;0,0;4626,0;4626,0;4626,0;4626,0;96x125;M;LDA;0,0;0,0
51;47,427;0,0;399,0;399,0;399,0;399,0;;;BULK;0,0;0,0
52;47,957;0,0;1413,0;1413,0;1413,0;1413,0;;;BULK;0,0;0,0
53;50,002;0,0;1716,0;1716,0;1716,0;1716,0;;;BULK;0,0;0,0
11L;15,433;0,806;1587,0;1587,0;1587,0;1587,0;60.4x61.5;K;LDF;0,0;0,0
11R;15,433;-0,806;1587,0;1587,0;1587,0;1587,0;60.4x61.5;K;LDF;0,0;0,0
12L;17,195;0,806;1587,0;1587,0;1587,0;1587,0;60.4x61.5;K;LDF;0,0;0,0
12R;17,195;-0,806;1587,0;1587,0;1587,0;1587,0;60.4x61.5;K;LDF;0,0;0,0
13L;18,778;0,806;1587,0;1587,0;1587,0;1587,0;60.4x61.5;K;LDF;0,0;0,0
13R;18,778;-0,806;1587,0;1587,0;1587,0;1587,0;60.4x61.5;K;LDF;0,0;0,0
14L;20,36;0,806;1587,0;1587,0;1587,0;1587,0;60.4x61.5;K;LDF;0,0;0,0
14R;20,36;-0,806;1587,0;1587,0;1587,0;1587,0;60.4x61.5;K;LDF;0,0;0,0
21L;22,123;0,806;1587,0;1587,0;1587,0;1587,0;60.4x61.5;K;LDF;0,0;0,0
21R;22,123;-0,806;1587,0;1587,0;1587,0;1587,0;60.4x61.5;K;LDF;0,0;0,0
22L;23,705;0,806;1587,0;1587,0;1587,0;1587,0;60.4x61.5;K;LDF;0,0;0,0
22R;23,705;-0,806;1587,0;1587,0;1587,0;1587,0;60.4x61.5;K;LDF;0,0;0,0
23L;25,288;0,806;1587,0;1587,0;1587,0;1587,0;60.4x61.5;K;LDF;0,0;0,0
23R;25,288;-0,806;1587,0;1587,0;1587,0;1587,0;60.4x61.5;K;LDF;0,0;0,0
31L;37,61;0,806;1587,0;1587,0;1587,0;1587,0;60.4x61.5;K;LDA;0,0;0,0
31R;37,61;-0,806;1587,0;1587,0;1587,0;1587,0;60.4x61.5;K;LDA;0,0;0,0
32L;39,19;0,806;1587,0;1587,0;1587,0;1587,0;60.4x61.5;K;LDA;0,0;0,0
32R;39,19;-0,806;1587,0;1587,0;1587,0;1587,0;60.4x61.5;K;LDA;0,0;0,0
33L;40,77;0,806;1587,0;1587,0;1587,0;1587,0;60.4x61.5;K;LDA;0,0;0,0
33R;40,77;-0,806;1587,0;1587,0;1587,0;1587,0;60.4x61.5;K;LDA;0,0;0,0
41L;42,75;0,806;1587,0;1587,0;1587,0;1587,0;60.4x61.5;K;LDA;0,0;0,0
41R;42,75;-0,806;1587,0;1587,0;1587,0;1587,0;60.4x61.5;K;LDA;0,0;0,0
42L;44,33;0,806;1587,0;1587,0;1587,0;1587,0;60.4x61.5;K;LDA;0,0;0,0
42R;44,33;-0,806;1587,0;1587,0;1587,0;1587,0;60.4x61.5;K;LDA;0,0;0,0
43L;45,91;0,806;1587,0;1587,0;1587,0;1587,0;60.4x61.5;K;LDA;0,0;0,0
43R;45,91;-0,806;1587,0;1587,0;1587,0;1587,0;60.4x61.5;K;LDA;0,0;0,0
CE;22,635972;0,0;4000,0;4000,0;4000,0;4000,0;96x125;M;MD;0,0;0,0
